id,id_especie,id_geracao,pokemon,altura,peso,exp_base,tipo_1,tipo_2,hp,ataque,defesa,ataque_especial,defesa_especial,velocidade,cor_1,cor_2,cor_final,url_imagem,url_icone
28,28,1,sandslash,1,29.5,158,terrestre,NA,75,100,110,45,55,65,#E0C068,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/28.png,//cdn.bulbagarden.net/upload/e/e0/028MS.png
29,29,1,nidoran-f,0.4,7,55,venenoso,NA,55,47,52,40,40,41,#A040A0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/29.png,//cdn.bulbagarden.net/upload/a/ab/029MS.png
30,30,1,nidorina,0.8,20,128,venenoso,NA,70,62,67,55,55,56,#A040A0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/30.png,//cdn.bulbagarden.net/upload/d/d0/030MS.png
31,31,1,nidoqueen,1.3,60,227,venenoso,terrestre,90,92,87,75,85,76,#A040A0,#E0C068,#AF5F92,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/31.png,//cdn.bulbagarden.net/upload/1/17/031XYMS.png
32,32,1,nidoran-m,0.5,9,55,venenoso,NA,46,57,40,40,40,50,#A040A0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/32.png,//cdn.bulbagarden.net/upload/f/fb/032MS.png
33,33,1,nidorino,0.9,19.5,128,venenoso,NA,61,72,57,55,55,65,#A040A0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/33.png,//cdn.bulbagarden.net/upload/0/0e/033MS.png
34,34,1,nidoking,1.4,62,227,venenoso,terrestre,81,102,77,85,75,85,#A040A0,#E0C068,#AF5F92,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/34.png,//cdn.bulbagarden.net/upload/2/2d/034XYMS.png
35,35,1,clefairy,0.6,7.5,113,fada,NA,70,45,48,60,65,35,#EE99AC,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/35.png,//cdn.bulbagarden.net/upload/f/f9/035MS.png
36,36,1,clefable,1.3,40,217,fada,NA,95,70,73,95,90,60,#EE99AC,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/36.png,//cdn.bulbagarden.net/upload/c/ce/036XYMS.png
37,37,1,vulpix,0.6,9.9,60,fogo,NA,38,41,40,50,65,65,#F08030,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/37.png,//cdn.bulbagarden.net/upload/8/85/037MS.png
38,38,1,ninetales,1.1,19.9,177,fogo,NA,73,76,75,81,100,100,#F08030,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/38.png,//cdn.bulbagarden.net/upload/1/10/038MS.png
39,39,1,jigglypuff,0.5,5.5,95,normal,fada,115,45,20,45,25,20,#A8A878,#EE99AC,#B8A484,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/39.png,//cdn.bulbagarden.net/upload/9/9c/039MS.png
40,40,1,wigglytuff,1,12,196,normal,fada,140,70,45,85,50,45,#A8A878,#EE99AC,#B8A484,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/40.png,//cdn.bulbagarden.net/upload/f/f1/040MS.png
41,41,1,zubat,0.8,7.5,49,venenoso,voador,40,45,35,30,40,55,#A040A0,#A890F0,#A153B3,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/41.png,//cdn.bulbagarden.net/upload/9/96/041MS.png
42,42,1,golbat,1.6,55,159,venenoso,voador,75,80,70,65,75,90,#A040A0,#A890F0,#A153B3,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/42.png,//cdn.bulbagarden.net/upload/2/28/042XYMS.png
43,43,1,oddish,0.5,5.4,64,grama,venenoso,45,50,55,75,65,30,#78C850,#A040A0,#81A763,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/43.png,//cdn.bulbagarden.net/upload/a/a5/043MS.png
44,44,1,gloom,0.8,8.6,138,grama,venenoso,60,65,70,85,75,40,#78C850,#A040A0,#81A763,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/44.png,//cdn.bulbagarden.net/upload/d/d9/044MS.png
45,45,1,vileplume,1.2,18.6,221,grama,venenoso,75,80,85,110,90,50,#78C850,#A040A0,#81A763,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/45.png,//cdn.bulbagarden.net/upload/1/13/045XYMS.png
46,46,1,paras,0.3,5.4,57,inseto,grama,35,70,55,45,55,25,#A8B820,#78C850,#9CBB2B,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/46.png,//cdn.bulbagarden.net/upload/7/7a/046MS.png
47,47,1,parasect,1,29.5,142,inseto,grama,60,95,80,60,80,30,#A8B820,#78C850,#9CBB2B,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/47.png,//cdn.bulbagarden.net/upload/4/41/047MS.png
48,48,1,venonat,1,30,61,inseto,venenoso,60,55,50,40,55,45,#A8B820,#A040A0,#A69A3F,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/48.png,//cdn.bulbagarden.net/upload/1/1e/048MS.png
49,49,1,venomoth,1.5,12.5,158,inseto,venenoso,70,65,60,90,75,90,#A8B820,#A040A0,#A69A3F,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/49.png,//cdn.bulbagarden.net/upload/3/37/049XYMS.png
50,50,1,diglett,0.2,0.8,53,terrestre,NA,10,55,25,35,45,95,#E0C068,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/50.png,//cdn.bulbagarden.net/upload/8/8b/050MS.png
51,51,1,dugtrio,0.7,33.3,149,terrestre,NA,35,100,50,50,70,120,#E0C068,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/51.png,//cdn.bulbagarden.net/upload/8/86/051MS.png
52,52,1,meowth,0.4,4.2,58,normal,NA,40,45,35,40,40,90,#A8A878,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/52.png,//cdn.bulbagarden.net/upload/5/50/052MS.png
53,53,1,persian,1,32,154,normal,NA,65,70,60,65,65,115,#A8A878,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/53.png,//cdn.bulbagarden.net/upload/a/a7/053MS.png
54,54,1,psyduck,0.8,19.6,64,água,NA,50,52,48,65,50,55,#6890F0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/54.png,//cdn.bulbagarden.net/upload/6/6b/054MS.png
55,55,1,golduck,1.7,76.6,175,água,NA,80,82,78,95,80,85,#6890F0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/55.png,//cdn.bulbagarden.net/upload/4/4d/055XYMS.png
56,56,1,mankey,0.5,28,61,lutador,NA,40,80,35,35,45,70,#C03028,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/56.png,//cdn.bulbagarden.net/upload/a/ad/056MS.png
57,57,1,primeape,1,32,159,lutador,NA,65,105,60,60,70,95,#C03028,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/57.png,//cdn.bulbagarden.net/upload/f/f1/057MS.png
58,58,1,growlithe,0.7,19,70,fogo,NA,55,70,45,70,50,60,#F08030,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/58.png,//cdn.bulbagarden.net/upload/6/69/058MS.png
59,59,1,arcanine,1.9,155,194,fogo,NA,90,110,80,100,80,95,#F08030,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/59.png,//cdn.bulbagarden.net/upload/3/30/059XYMS.png
60,60,1,poliwag,0.6,12.4,60,água,NA,40,50,40,40,40,90,#6890F0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/60.png,//cdn.bulbagarden.net/upload/1/17/060MS.png
61,61,1,poliwhirl,1,20,135,água,NA,65,65,65,50,50,90,#6890F0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/61.png,//cdn.bulbagarden.net/upload/3/36/061MS.png
62,62,1,poliwrath,1.3,54,230,água,lutador,90,95,95,70,90,70,#6890F0,#C03028,#7D78BF,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/62.png,//cdn.bulbagarden.net/upload/2/2c/062XYMS.png
63,63,1,abra,0.9,19.5,62,psíquico,NA,25,20,15,105,55,90,#F85888,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/63.png,//cdn.bulbagarden.net/upload/c/cf/063MS.png
64,64,1,kadabra,1.3,56.5,140,psíquico,NA,40,35,30,120,70,105,#F85888,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/64.png,//cdn.bulbagarden.net/upload/b/b6/064MS.png
65,65,1,alakazam,1.5,48,225,psíquico,NA,55,50,45,135,95,120,#F85888,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/65.png,//cdn.bulbagarden.net/upload/0/0a/065XYMS.png
66,66,1,machop,0.8,19.5,61,lutador,NA,70,80,50,35,35,35,#C03028,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/66.png,//cdn.bulbagarden.net/upload/6/6c/066MS.png
67,67,1,machoke,1.5,70.5,142,lutador,NA,80,100,70,50,60,45,#C03028,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/67.png,//cdn.bulbagarden.net/upload/0/0f/067MS.png
68,68,1,machamp,1.6,130,227,lutador,NA,90,130,80,65,85,55,#C03028,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/68.png,//cdn.bulbagarden.net/upload/9/91/068XYMS.png
69,69,1,bellsprout,0.7,4,60,grama,venenoso,50,75,35,70,30,40,#78C850,#A040A0,#81A763,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/69.png,//cdn.bulbagarden.net/upload/7/7b/069MS.png
70,70,1,weepinbell,1,6.4,137,grama,venenoso,65,90,50,85,45,55,#78C850,#A040A0,#81A763,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/70.png,//cdn.bulbagarden.net/upload/d/d5/070MS.png
71,71,1,victreebel,1.7,15.5,221,grama,venenoso,80,105,65,100,70,70,#78C850,#A040A0,#81A763,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/71.png,//cdn.bulbagarden.net/upload/5/52/071XYMS.png
72,72,1,tentacool,0.9,45.5,67,água,venenoso,40,40,35,50,100,70,#6890F0,#A040A0,#757CDC,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/72.png,//cdn.bulbagarden.net/upload/4/42/072MS.png
73,73,1,tentacruel,1.6,55,180,água,venenoso,80,70,65,80,120,100,#6890F0,#A040A0,#757CDC,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/73.png,//cdn.bulbagarden.net/upload/d/d5/073XYMS.png
74,74,1,geodude,0.4,20,60,pedra,terrestre,40,80,100,30,30,20,#B8A038,#E0C068,#C1A743,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/74.png,//cdn.bulbagarden.net/upload/0/04/074MS.png
75,75,1,graveler,1,105,137,pedra,terrestre,55,95,115,45,45,35,#B8A038,#E0C068,#C1A743,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/75.png,//cdn.bulbagarden.net/upload/5/5c/075MS.png
76,76,1,golem,1.4,300,223,pedra,terrestre,80,120,130,55,65,45,#B8A038,#E0C068,#C1A743,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/76.png,//cdn.bulbagarden.net/upload/e/e6/076XYMS.png
77,77,1,ponyta,1,30,82,fogo,NA,50,85,55,65,65,90,#F08030,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/77.png,//cdn.bulbagarden.net/upload/5/55/077MS.png
78,78,1,rapidash,1.7,95,175,fogo,NA,65,100,70,80,80,105,#F08030,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/78.png,//cdn.bulbagarden.net/upload/e/ef/078XYMS.png
79,79,1,slowpoke,1.2,36,63,água,psíquico,90,65,65,40,40,15,#6890F0,#F85888,#8A82D6,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/79.png,//cdn.bulbagarden.net/upload/6/6a/079MS.png
80,80,1,slowbro,1.6,78.5,172,água,psíquico,95,75,110,100,80,30,#6890F0,#F85888,#8A82D6,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/80.png,//cdn.bulbagarden.net/upload/a/ae/080XYMS.png
81,81,1,magnemite,0.3,6,65,elétrico,aço,25,35,70,95,55,45,#F8D030,#B8B8D0,#E8CA56,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/81.png,//cdn.bulbagarden.net/upload/0/0f/081MS.png
82,82,1,magneton,1,60,163,elétrico,aço,50,60,95,120,70,70,#F8D030,#B8B8D0,#E8CA56,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/82.png,//cdn.bulbagarden.net/upload/0/0c/082MS.png
83,83,1,farfetchd,0.8,15,132,normal,voador,52,90,55,58,62,60,#A8A878,#A890F0,#A8A295,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/83.png,//cdn.bulbagarden.net/upload/5/57/083MS.png
84,84,1,doduo,1.4,39.2,62,normal,voador,35,85,45,35,35,75,#A8A878,#A890F0,#A8A295,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/84.png,//cdn.bulbagarden.net/upload/f/fc/084MS.png
85,85,1,dodrio,1.8,85.2,165,normal,voador,60,110,70,60,60,110,#A8A878,#A890F0,#A8A295,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/85.png,//cdn.bulbagarden.net/upload/9/93/085XYMS.png
86,86,1,seel,1.1,90,65,água,NA,65,45,55,45,70,45,#6890F0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/86.png,//cdn.bulbagarden.net/upload/9/9b/086MS.png
87,87,1,dewgong,1.7,120,166,água,gelo,90,70,80,70,95,70,#6890F0,#98D8D8,#73A1EA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/87.png,//cdn.bulbagarden.net/upload/2/28/087XYMS.png
88,88,1,grimer,0.9,30,65,venenoso,NA,80,80,50,40,50,25,#A040A0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/88.png,//cdn.bulbagarden.net/upload/5/50/088MS.png
89,89,1,muk,1.2,30,175,venenoso,NA,105,105,75,65,100,50,#A040A0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/89.png,//cdn.bulbagarden.net/upload/b/b4/089MS.png
90,90,1,shellder,0.3,4,61,água,NA,30,65,100,45,25,40,#6890F0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/90.png,//cdn.bulbagarden.net/upload/4/41/090MS.png
91,91,1,cloyster,1.5,132.5,184,água,gelo,50,95,180,85,45,70,#6890F0,#98D8D8,#73A1EA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/91.png,//cdn.bulbagarden.net/upload/a/ac/091XYMS.png
92,92,1,gastly,1.3,0.1,62,fantasma,venenoso,30,35,30,100,35,80,#705898,#A040A0,#7B5299,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/92.png,//cdn.bulbagarden.net/upload/c/cf/092MS.png
93,93,1,haunter,1.6,0.1,142,fantasma,venenoso,45,50,45,115,55,95,#705898,#A040A0,#7B5299,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/93.png,//cdn.bulbagarden.net/upload/7/71/093MS.png
94,94,1,gengar,1.5,40.5,225,fantasma,venenoso,60,65,60,130,75,110,#705898,#A040A0,#7B5299,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/94.png,//cdn.bulbagarden.net/upload/3/3a/094XYMS.png
95,95,1,onix,8.8,210,77,pedra,terrestre,35,45,160,30,45,70,#B8A038,#E0C068,#C1A743,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/95.png,//cdn.bulbagarden.net/upload/b/be/095XYMS.png
96,96,1,drowzee,1,32.4,66,psíquico,NA,60,48,45,43,90,42,#F85888,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/96.png,//cdn.bulbagarden.net/upload/8/8e/096MS.png
97,97,1,hypno,1.6,75.6,169,psíquico,NA,85,73,70,73,115,67,#F85888,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/97.png,//cdn.bulbagarden.net/upload/5/5d/097XYMS.png
98,98,1,krabby,0.4,6.5,65,água,NA,30,105,90,25,25,50,#6890F0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/98.png,//cdn.bulbagarden.net/upload/4/40/098MS.png
99,99,1,kingler,1.3,60,166,água,NA,55,130,115,50,50,75,#6890F0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/99.png,//cdn.bulbagarden.net/upload/4/43/099XYMS.png
100,100,1,voltorb,0.5,10.4,66,elétrico,NA,40,30,50,55,55,100,#F8D030,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/100.png,//cdn.bulbagarden.net/upload/c/c1/100MS.png
101,101,1,electrode,1.2,66.6,172,elétrico,NA,60,50,70,80,80,150,#F8D030,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/101.png,//cdn.bulbagarden.net/upload/6/69/101MS.png
102,102,1,exeggcute,0.4,2.5,65,grama,psíquico,60,40,80,60,45,40,#78C850,#F85888,#97AC5D,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/102.png,//cdn.bulbagarden.net/upload/a/a6/102MS.png
103,103,1,exeggutor,2,120,186,grama,psíquico,95,95,85,125,75,55,#78C850,#F85888,#97AC5D,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/103.png,//cdn.bulbagarden.net/upload/0/06/103XYMS.png
104,104,1,cubone,0.4,6.5,64,terrestre,NA,50,50,95,40,50,35,#E0C068,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/104.png,//cdn.bulbagarden.net/upload/2/2e/104MS.png
105,105,1,marowak,1,45,149,terrestre,NA,60,80,110,50,80,45,#E0C068,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/105.png,//cdn.bulbagarden.net/upload/6/6f/105MS.png
106,106,1,hitmonlee,1.5,49.8,159,lutador,NA,50,120,53,35,110,87,#C03028,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/106.png,//cdn.bulbagarden.net/upload/9/9d/106XYMS.png
107,107,1,hitmonchan,1.4,50.2,159,lutador,NA,50,105,79,35,110,76,#C03028,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/107.png,//cdn.bulbagarden.net/upload/7/79/107XYMS.png
108,108,1,lickitung,1.2,65.5,77,normal,NA,90,55,75,60,75,30,#A8A878,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/108.png,//cdn.bulbagarden.net/upload/2/25/108MS.png
